Eu,Ti,El/Ela,Nós,Vós,Eles/Elas
Elimine,Elimines,Elimine,Eliminemos,Eliminedes,Eliminen
Limpe,Limpes,Limpe,Limpemos,Limpedes,Limpen
Aclare,Aclares,Aclare,Aclaremos,Aclaredes,Aclaren
Concentre,Concentres,Concentre,Concentremos,Concentredes,Concentren
Conforme,Conformes,Conforme,Conformemos,Conformedes,Conformen
Mesture,Mestures,Mesture,Mesturemos,Mesturedes,Mesturen
Opte,Optes,Opte,Optemos,Optedes,Opten
Aborde,Abordes,Aborde,Abordemos,Abordedes,Aborden
Desfaga,Desfagas,Desfaga,Desfagamos,Desfagades,Desfagan
Baile,Bailes,Baile,Bailemos,Bailedes,Bailen
Domine,Domines,Domine,Dominemos,Dominedes,Dominen
Arrastre,Arrastres,Arrastre,Arrastremos,Arrastredes,Arrastren
Experimente,Experimentes,Experimente,Experimentemos,Experimentedes,Experimenten
Ache,Aches,Ache,Achemos,Achedes,Achen
Vote,Votes,Vote,Votemos,Votedes,Voten
Caracterice,Caracterices,Caracterice,Caractericemos,Caractericedes,Caractericen
Oculte,Ocultes,Oculte,Ocultemos,Ocultedes,Oculten
Formule,Formules,Formule,Formulemos,Formuledes,Formulen
Padeza,Padezas,Padeza,Padezamos,Padezades,Padezan
