Eu,Ti,El/Ela,Nós,Vós,Eles/Elas
Adquiría,Adquirías,Adquiría,Adquiriamos,Adquiriades,Adquirían
Cortaba,Cortabas,Cortaba,Cortabamos,Cortabades,Cortaban
Consistía,Consistías,Consistía,Consistiamos,Consistiades,Consistían
Contribuía,Contribuías,Contribuía,Contribuïamos,Contribuïades,Contribuían
Viaxaba,Viaxabas,Viaxaba,Viaxabamos,Viaxabades,Viaxaban
Procedía,Procedías,Procedía,Procediamos,Procediades,Procedían
Concluía,Concluías,Concluía,Concluïamos,Concluïades,Concluían
Viraba,Virabas,Viraba,Virabamos,Virabades,Viraban
Escollía,Escollías,Escollía,Escolliamos,Escolliades,Escollían
Controlaba,Controlabas,Controlaba,Controlabamos,Controlabades,Controlaban
Loitaba,Loitabas,Loitaba,Loitabamos,Loitabades,Loitaban
Batía,Batías,Batía,Batiamos,Batiades,Batían
Acollía,Acollías,Acollía,Acolliamos,Acolliades,Acollían
Prestaba,Prestabas,Prestaba,Prestabamos,Prestabades,Prestaban
Implicaba,Implicabas,Implicaba,Implicabamos,Implicabades,Implicaban
Casaba,Casabas,Casaba,Casabamos,Casabades,Casaban
Mudaba,Mudabas,Mudaba,Mudabamos,Mudabades,Mudaban
Pertencía,Pertencías,Pertencía,Pertenciamos,Pertenciades,Pertencían
Retiraba,Retirabas,Retiraba,Retirabamos,Retirabades,Retiraban
Salvaba,Salvabas,Salvaba,Salvabamos,Salvabades,Salvaban
Adoptaba,Adoptabas,Adoptaba,Adoptabamos,Adoptabades,Adoptaban
Estudaba,Estudabas,Estudaba,Estudabamos,Estudabades,Estudaban
Convocaba,Convocabas,Convocaba,Convocabamos,Convocabades,Convocaban
Subliñaba,Subliñabas,Subliñaba,Subliñabamos,Subliñabades,Subliñaban
Espertaba,Espertabas,Espertaba,Espertabamos,Espertabades,Espertaban
Instalaba,Instalabas,Instalaba,Instalabamos,Instalabades,Instalaban
Custaba,Custabas,Custaba,Custabamos,Custabades,Custaban
Estendía,Estendías,Estendía,Estendiamos,Estendiades,Estendían
Sometía,Sometías,Sometía,Sometiamos,Sometiades,Sometían
Promovía,Promovías,Promovía,Promoviamos,Promoviades,Promovían
Interpretaba,Interpretabas,Interpretaba,Interpretabamos,Interpretabades,Interpretaban
Trasladaba,Trasladabas,Trasladaba,Trasladabamos,Trasladabades,Trasladaban
Atravesaba,Atravesabas,Atravesaba,Atravesabamos,Atravesabades,Atravesaban
Rodeaba,Rodeabas,Rodeaba,Rodeabamos,Rodeabades,Rodeaban
Concedía,Concedías,Concedía,Concediamos,Concediades,Concedían
Limitaba,Limitabas,Limitaba,Limitabamos,Limitabades,Limitaban
Cabía,Cabías,Cabía,Cabiamos,Cabiades,Cabían
Merecía,Merecías,Merecía,Mereciamos,Mereciades,Merecían
Dubidaba,Dubidabas,Dubidaba,Dubidabamos,Dubidabades,Dubidaban
Sostía,Sostías,Sostía,Sostiamos,Sostiades,Sostían
Separaba,Separabas,Separaba,Separabamos,Separabades,Separaban
Protexía,Protexías,Protexía,Protexiamos,Protexiades,Protexían
Prendía,Prendías,Prendía,Prendiamos,Prendiades,Prendían
Cobraba,Cobrabas,Cobraba,Cobrabamos,Cobrabades,Cobraban
Estudiaba,Estudiabas,Estudiaba,Estudiabamos,Estudiabades,Estudiaban
Expoñía,Expoñías,Expoñía,Expoñiamos,Expoñiades,Expoñían
Percibía,Percibías,Percibía,Percibiamos,Percibiades,Percibían
Admitía,Admitías,Admitía,Admitiamos,Admitiades,Admitían
Derivaba,Derivabas,Derivaba,Derivabamos,Derivabades,Derivaban
Soñaba,Soñabas,Soñaba,Soñabamos,Soñabades,Soñaban
Montaba,Montabas,Montaba,Montabamos,Montabades,Montaban
Xustificaba,Xustificabas,Xustificaba,Xustificabamos,Xustificabades,Xustificaban
Citaba,Citabas,Citaba,Citabamos,Citabades,Citaban
Emitía,Emitías,Emitía,Emitiamos,Emitiades,Emitían
Comunicaba,Comunicabas,Comunicaba,Comunicabamos,Comunicabades,Comunicaban
Enfrontaba,Enfrontabas,Enfrontaba,Enfrontabamos,Enfrontabades,Enfrontaban
Compoñía,Compoñías,Compoñía,Compoñiamos,Compoñiades,Compoñían
