Eu,Ti,El/Ela,Nós,Vós,Eles/Elas
Atrevese,Atreveses,Atrevese,Atrevésemos,Atrevésedes,Atrevesen
Confiase,Confiases,Confiase,Confiásemos,Confiásedes,Confiasen
Amase,Amases,Amase,Amásemos,Amásedes,Amasen
Apostase,Apostases,Apostase,Apostásemos,Apostásedes,Apostasen
Tendese,Tendeses,Tendese,Tendésemos,Tendésedes,Tendesen
Devolvese,Devolveses,Devolvese,Devolvésemos,Devolvésedes,Devolvesen
Pousase,Pousases,Pousase,Pousásemos,Pousásedes,Pousasen
Xuntase,Xuntases,Xuntase,Xuntásemos,Xuntásedes,Xuntasen
Deseñase,Deseñases,Deseñase,Deseñásemos,Deseñásedes,Deseñasen
Cargase,Cargases,Cargase,Cargásemos,Cargásedes,Cargasen
